,Unnamed: 0,Unnamed: 0.1,food,gluten,peanuts,eggs,seafood,soy,dairy,tree nuts,joined_word
183,183,183,soy lecithin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,soylecithin
184,184,184,almonds,0.0,0.0,0.0,0.0,0.0,0.0,1.0,almonds
185,185,185,cocoa butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cocoabutter
186,186,186,egg whites,0.0,0.0,1.0,0.0,0.0,0.0,0.0,eggwhites
187,187,187,honey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,honey
188,188,188,wheat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wheat
189,189,189,butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,butter
190,190,190,hazelnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hazelnut
191,191,191,sesame seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sesameseed
192,192,192,soybeans,0.0,0.0,0.0,0.0,1.0,0.0,0.0,soybeans
193,193,193,seitan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,seitan
194,194,194,yeast,1.0,0.0,0.0,0.0,0.0,0.0,0.0,yeast
195,195,195,soy sauce,0.0,0.0,0.0,0.0,1.0,0.0,0.0,soysauce
196,196,196,tofu,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tofu
197,197,197,tempeh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tempeh
198,198,198,tvp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tvp
199,199,199,okara,0.0,0.0,0.0,0.0,1.0,0.0,0.0,okara
200,200,200,lactoglobolin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,lactoglobolin
201,201,201,celery extract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celeryextract
202,202,202,tahini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tahini
203,203,203,lecithin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,lecithin
204,204,204,walnut oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,walnutoil
205,205,205,crab meal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crabmeal
206,206,206,shrimp paste,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrimppaste
207,207,207,eilecithin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,eilecithin
208,208,208,sulfur dioxide so2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sulfurdioxideso2
209,209,209,sodium sulfite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sodiumsulfite
210,210,210,lupine seeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lupineseeds
211,211,211,sushimi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sushimi
212,212,212,kefir,0.0,0.0,0.0,0.0,0.0,1.0,0.0,kefir
213,213,213,mayo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mayo
214,214,214,mayonnaise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mayonnaise
215,215,215,flour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,flour
216,216,216,multi-purpose flour,1.0,0.0,0.0,0.0,0.0,0.0,0.0,multipurposeflour
